THIS IS A SAMPLE DATA SET TO SHOW THE STRUCTURE OF THE OUTPUT 

Phase,Trial,Cue,Target,Type,Response,Accuracy,Confidence,RT,Context,Identification,Gist
Learning,72,Carpet,34.jpg,nothink,8.jpg,0.0,,0.12758749999920838,,,
Learning,73,Paperclip,46.jpg,baseline,9.jpg,0.0,,0.062338800000361516,,,
Learning,74,Dictionary,43.jpg,baseline,13.jpg,0.0,,0.12237689999892609,,,
Learning,75,Microscope,41.jpg,baseline,20.jpg,0.0,,0.03786050000053365,,,
Learning,76,Lighthouse,33.jpg,nothink,66.jpg,0.0,,0.1521972000009555,,,
Learning,77,Igloo,101.jpg,bystander,37.jpg,0.0,,0.09067419999882986,,,
Learning,78,Rocket,83.jpg,bystander,83.jpg,1.0,,0.14745790000051784,,,
Learning,79,Anchor,50.jpg,baseline,75.jpg,0.0,,0.058248199999070494,,,
Learning,80,Bicycle,9.jpg,think,47.jpg,0.0,,0.05485899999985122,,,
Learning,81,Kangaroo,31.jpg,nothink,89.jpg,0.0,,0.14876619999995455,,,
Learning,82,Locket,110.jpg,bystander,66.jpg,0.0,,0.10850410000057309,,,
Learning,83,Peppermint,67.jpg,filler,10.jpg,0.0,,0.08245560000068508,,,
Learning,84,Windmill,57.jpg,baseline,49.jpg,0.0,,0.1356775000003836,,,
Learning,85,Chainsaw,93.jpg,bystander,36.jpg,0.0,,0.08145540000077744,,,
Learning,86,Blender,74.jpg,filler,74.jpg,1.0,,0.08382710000114457,,,
Learning,87,Canyon,106.jpg,bystander,28.jpg,0.0,,0.06631559999914316,,,
Learning,88,Moxie,22.jpg,nothink,64.jpg,0.0,,0.10125999999945634,,,
Learning,89,Toaster,98.jpg,bystander,67.jpg,0.0,,0.12322130000029574,,,
Learning,90,Galaxy,1.jpg,think,55.jpg,0.0,,0.08445750000100816,,,
Learning,91,Bread,4.jpg,think,75.jpg,0.0,,0.21170700000038778,,,
Learning,92,Snowflake,53.jpg,baseline,78.jpg,0.0,,0.14630339999894204,,,
Learning,93,Volleyball,39.jpg,nothink,24.jpg,0.0,,0.14264040000125533,,,
Learning,94,Hammock,45.jpg,baseline,45.jpg,1.0,,0.05786240000088583,,,
Learning,95,Pencil,103.jpg,bystander,39.jpg,0.0,,0.09133900000051653,,,
Learning,96,Calendar,37.jpg,nothink,37.jpg,1.0,,0.10742200000095181,,,
Learning,97,Bottle,58.jpg,baseline,25.jpg,0.0,,0.21367359999931068,,,
Learning,98,Meteor,99.jpg,bystander,40.jpg,0.0,,0.23092819999874337,,,
Learning,99,Siren,109.jpg,bystander,68.jpg,0.0,,0.2465559000011126,,,
Learning,100,Robot,95.jpg,bystander,58.jpg,0.0,,0.0943728000002011,,,
Learning,101,Mushroom,59.jpg,baseline,16.jpg,0.0,,0.08091950000016368,,,
Learning,102,Pyramid,10.jpg,think,52.jpg,0.0,,0.2850744000006671,,,
Learning,103,Chocolate,51.jpg,baseline,75.jpg,0.0,,0.18672040000092238,,,
Learning,104,Giraffe,73.jpg,filler,73.jpg,1.0,,0.22767820000080974,,,
Learning,105,Temple,88.jpg,bystander,98.jpg,0.0,,0.107881300000372,,,
Learning,106,Tornado,105.jpg,bystander,67.jpg,0.0,,0.07063160000143398,,,
Learning,107,Umbrella,2.jpg,think,2.jpg,1.0,,0.18509369999992487,,,
Learning,108,Quack,70.jpg,filler,40.jpg,0.0,,0.24475750000055996,,,
Learning,109,Whirlpool,56.jpg,baseline,89.jpg,0.0,,0.12026329999935115,,,
Learning,110,Melody,47.jpg,baseline,10.jpg,0.0,,0.1456849999995029,,,
TNT,1,Meteor,99.jpg,bystanderFlash,,,,,nothink,,
TNT,1,Harmony,5.jpg,think,,,,,,,
TNT,2,Temple,88.jpg,bystanderFlash,,,,,think,,
TNT,2,Galaxy,1.jpg,think,,,,,,,
TNT,3,Tunnel,87.jpg,bystanderFlash,,,,,nothink,,
TNT,3,Bicycle,9.jpg,think,,,,,,,
TNT,4,Thunder,82.jpg,bystanderFlash,,,,,think,,
TNT,4,Coconut,6.jpg,think,,,,,,,
TNT,5,Helmet,84.jpg,bystanderFlash,,,,,nothink,,
TNT,5,Compass,7.jpg,think,,,,,,,
TNT,6,Mask,97.jpg,bystanderFlash,,,,,think,,
TNT,6,Pillow,14.jpg,think,,,,,,,
TNT,7,Vortex,108.jpg,bystanderFlash,,,,,think,,
TNT,7,Umbrella,2.jpg,think,,,,,,,
TNT,8,Rocket,83.jpg,bystanderFlash,,,,,nothink,,
TNT,8,Bicycle,9.jpg,think,,,,,,,
TNT,9,Trophy,91.jpg,bystanderFlash,,,,,nothink,,
TNT,9,Sandwich,28.jpg,nothink,,,,,,,
TNT,10,Chainsaw,93.jpg,bystanderFlash,,,,,nothink,,
TNT,10,Compass,7.jpg,think,,,,,,,
TNT,11,Scissors,89.jpg,bystanderFlash,,,,,nothink,,
TNT,11,Moxie,22.jpg,nothink,,,,,,,
TNT,12,Pencil,103.jpg,bystanderFlash,,,,,nothink,,
TNT,12,Telescope,27.jpg,nothink,,,,,,,
TNT,13,Firework,94.jpg,bystanderFlash,,,,,think,,
TNT,13,Camera,12.jpg,think,,,,,,,
TNT,14,Spectrum,107.jpg,bystanderFlash,,,,,think,,
TNT,14,Raincoat,29.jpg,nothink,,,,,,,
TNT,15,Shovel,90.jpg,bystanderFlash,,,,,nothink,,
TNT,15,Teapot,26.jpg,nothink,,,,,,,
TNT,16,Tornado,105.jpg,bystanderFlash,,,,,think,,
TNT,16,Volleyball,39.jpg,nothink,,,,,,,
TNT,17,Robot,95.jpg,bystanderFlash,,,,,think,,
TNT,17,Bread,4.jpg,think,,,,,,,
TNT,18,Candle,85.jpg,bystanderFlash,,,,,think,,
TNT,18,Harmony,5.jpg,think,,,,,,,
TNT,19,Pickaxe,86.jpg,bystanderFlash,,,,,think,,
TNT,19,Kangaroo,31.jpg,nothink,,,,,,,
TNT,20,Balloon,104.jpg,bystanderFlash,,,,,nothink,,
TNT,20,Bicycle,9.jpg,think,,,,,,,
TNT,21,Trophy,91.jpg,bystanderFlash,,,,,nothink,,
TNT,21,Lighthouse,33.jpg,nothink,,,,,,,
TNT,22,Thunder,82.jpg,bystanderFlash,,,,,think,,
TNT,22,Carpet,34.jpg,nothink,,,,,,,
TNT,23,Vortex,108.jpg,bystanderFlash,,,,,think,,
TNT,23,Raincoat,29.jpg,nothink,,,,,,,
TNT,24,Scissors,89.jpg,bystanderFlash,,,,,nothink,,
TNT,24,Rainbow,40.jpg,nothink,,,,,,,
TNT,25,Temple,88.jpg,bystanderFlash,,,,,think,,
TNT,25,Raincoat,29.jpg,nothink,,,,,,,
TNT,26,Pencil,103.jpg,bystanderFlash,,,,,nothink,,
TNT,26,Camera,12.jpg,think,,,,,,,
TNT,27,Shovel,90.jpg,bystanderFlash,,,,,nothink,,
TNT,27,Teapot,26.jpg,nothink,,,,,,,
TNT,28,Pickaxe,86.jpg,bystanderFlash,,,,,think,,
TNT,28,Jazz,16.jpg,think,,,,,,,
TNT,29,Tunnel,87.jpg,bystanderFlash,,,,,nothink,,
TNT,29,Moxie,22.jpg,nothink,,,,,,,
TNT,30,Rocket,83.jpg,bystanderFlash,,,,,nothink,,
TNT,30,Strawberry,38.jpg,nothink,,,,,,,
TNT,31,Spectrum,107.jpg,bystanderFlash,,,,,think,,
TNT,31,Sapphire,19.jpg,think,,,,,,,
TNT,32,Robot,95.jpg,bystanderFlash,,,,,think,,
TNT,32,Pyramid,10.jpg,think,,,,,,,
TNT,33,Candle,85.jpg,bystanderFlash,,,,,think,,
TNT,33,Teapot,26.jpg,nothink,,,,,,,
TNT,34,Tornado,105.jpg,bystanderFlash,,,,,think,,
TNT,34,Harmony,5.jpg,think,,,,,,,
TNT,35,Balloon,104.jpg,bystanderFlash,,,,,nothink,,
TNT,35,Puzzle,32.jpg,nothink,,,,,,,
TNT,36,Helmet,84.jpg,bystanderFlash,,,,,nothink,,
TNT,36,Violin,11.jpg,think,,,,,,,
TNT,37,Chainsaw,93.jpg,bystanderFlash,,,,,nothink,,
TNT,37,Carpet,34.jpg,nothink,,,,,,,
TNT,38,Mask,97.jpg,bystanderFlash,,,,,think,,
TNT,38,Saxophone,30.jpg,nothink,,,,,,,
TNT,39,Firework,94.jpg,bystanderFlash,,,,,think,,
TNT,39,Bread,4.jpg,think,,,,,,,
TNT,40,Meteor,99.jpg,bystanderFlash,,,,,nothink,,
TNT,40,Umbrella,2.jpg,think,,,,,,,
TNT,41,Scissors,89.jpg,bystanderFlash,,,,,nothink,,
TNT,41,Moxie,22.jpg,nothink,,,,,,,
TNT,42,Tunnel,87.jpg,bystanderFlash,,,,,nothink,,
TNT,42,Telescope,27.jpg,nothink,,,,,,,
TNT,43,Pencil,103.jpg,bystanderFlash,,,,,nothink,,
TNT,43,Volcano,21.jpg,nothink,,,,,,,
TNT,44,Helmet,84.jpg,bystanderFlash,,,,,nothink,,
TNT,44,Volcano,21.jpg,nothink,,,,,,,
TNT,45,Spectrum,107.jpg,bystanderFlash,,,,,think,,
TNT,45,Lemonade,13.jpg,think,,,,,,,
TNT,46,Robot,95.jpg,bystanderFlash,,,,,think,,
TNT,46,Volleyball,39.jpg,nothink,,,,,,,
TNT,47,Rocket,83.jpg,bystanderFlash,,,,,nothink,,
TNT,47,Banana,15.jpg,think,,,,,,,
TNT,48,Thunder,82.jpg,bystanderFlash,,,,,think,,
TNT,48,Pyramid,10.jpg,think,,,,,,,
TNT,49,Chainsaw,93.jpg,bystanderFlash,,,,,nothink,,
TNT,49,Calendar,37.jpg,nothink,,,,,,,
TNT,50,Shovel,90.jpg,bystanderFlash,,,,,nothink,,
TNT,50,Coconut,6.jpg,think,,,,,,,
TNT,51,Candle,85.jpg,bystanderFlash,,,,,think,,
TNT,51,Saxophone,30.jpg,nothink,,,,,,,
TNT,52,Balloon,104.jpg,bystanderFlash,,,,,nothink,,
TNT,52,Calendar,37.jpg,nothink,,,,,,,
TNT,53,Firework,94.jpg,bystanderFlash,,,,,think,,
TNT,53,Mirror,24.jpg,nothink,,,,,,,
TNT,54,Trophy,91.jpg,bystanderFlash,,,,,nothink,,
TNT,54,Marathon,18.jpg,think,,,,,,,
TNT,55,Temple,88.jpg,bystanderFlash,,,,,think,,
TNT,55,Marathon,18.jpg,think,,,,,,,
TNT,56,Tornado,105.jpg,bystanderFlash,,,,,think,,
TNT,56,Lighthouse,33.jpg,nothink,,,,,,,
TNT,57,Vortex,108.jpg,bystanderFlash,,,,,think,,
TNT,57,Compass,7.jpg,think,,,,,,,
TNT,58,Meteor,99.jpg,bystanderFlash,,,,,nothink,,
TNT,58,Strawberry,38.jpg,nothink,,,,,,,
TNT,59,Mask,97.jpg,bystanderFlash,,,,,think,,
TNT,59,Calculator,3.jpg,think,,,,,,,
TNT,60,Pickaxe,86.jpg,bystanderFlash,,,,,think,,
TNT,60,Sandwich,28.jpg,nothink,,,,,,,
TNT,61,Spectrum,107.jpg,bystanderFlash,,,,,think,,
TNT,61,Telescope,27.jpg,nothink,,,,,,,
TNT,62,Vortex,108.jpg,bystanderFlash,,,,,think,,
TNT,62,Pillow,14.jpg,think,,,,,,,
TNT,63,Meteor,99.jpg,bystanderFlash,,,,,nothink,,
TNT,63,Calculator,3.jpg,think,,,,,,,
TNT,64,Pencil,103.jpg,bystanderFlash,,,,,nothink,,
TNT,64,Parachute,25.jpg,nothink,,,,,,,
TNT,65,Thunder,82.jpg,bystanderFlash,,,,,think,,
TNT,65,Kangaroo,31.jpg,nothink,,,,,,,
TNT,66,Shovel,90.jpg,bystanderFlash,,,,,nothink,,
TNT,66,Mirror,24.jpg,nothink,,,,,,,
TNT,67,Candle,85.jpg,bystanderFlash,,,,,think,,
TNT,67,Pepper,23.jpg,nothink,,,,,,,
TNT,68,Tornado,105.jpg,bystanderFlash,,,,,think,,
TNT,68,Volcano,21.jpg,nothink,,,,,,,
TNT,69,Scissors,89.jpg,bystanderFlash,,,,,nothink,,
TNT,69,Pepper,23.jpg,nothink,,,,,,,
TNT,70,Tunnel,87.jpg,bystanderFlash,,,,,nothink,,
TNT,70,Jupiter,8.jpg,think,,,,,,,
TNT,71,Balloon,104.jpg,bystanderFlash,,,,,nothink,,
TNT,71,Jupiter,8.jpg,think,,,,,,,
TNT,72,Mask,97.jpg,bystanderFlash,,,,,think,,
TNT,72,Cactus,17.jpg,think,,,,,,,
TNT,73,Helmet,84.jpg,bystanderFlash,,,,,nothink,,
TNT,73,Satellite,20.jpg,think,,,,,,,
TNT,74,Rocket,83.jpg,bystanderFlash,,,,,nothink,,
TNT,74,Coconut,6.jpg,think,,,,,,,
TNT,75,Trophy,91.jpg,bystanderFlash,,,,,nothink,,
TNT,75,Whistle,35.jpg,nothink,,,,,,,
TNT,76,Temple,88.jpg,bystanderFlash,,,,,think,,
TNT,76,Eagle,36.jpg,nothink,,,,,,,
TNT,77,Robot,95.jpg,bystanderFlash,,,,,think,,
TNT,77,Lighthouse,33.jpg,nothink,,,,,,,
TNT,78,Firework,94.jpg,bystanderFlash,,,,,think,,
TNT,78,Pyramid,10.jpg,think,,,,,,,
TNT,79,Chainsaw,93.jpg,bystanderFlash,,,,,nothink,,
TNT,79,Sandwich,28.jpg,nothink,,,,,,,
TNT,80,Pickaxe,86.jpg,bystanderFlash,,,,,think,,
TNT,80,Camera,12.jpg,think,,,,,,,
TNT,81,Tornado,105.jpg,bystanderFlash,,,,,think,,
TNT,81,Jazz,16.jpg,think,,,,,,,
TNT,82,Meteor,99.jpg,bystanderFlash,,,,,nothink,,
TNT,82,Banana,15.jpg,think,,,,,,,
TNT,83,Mask,97.jpg,bystanderFlash,,,,,think,,
TNT,83,Pillow,14.jpg,think,,,,,,,
TNT,84,Shovel,90.jpg,bystanderFlash,,,,,nothink,,
TNT,84,Violin,11.jpg,think,,,,,,,
TNT,85,Temple,88.jpg,bystanderFlash,,,,,think,,
TNT,85,Calendar,37.jpg,nothink,,,,,,,
TNT,86,Vortex,108.jpg,bystanderFlash,,,,,think,,
TNT,86,Kangaroo,31.jpg,nothink,,,,,,,
TNT,87,Spectrum,107.jpg,bystanderFlash,,,,,think,,
TNT,87,Cactus,17.jpg,think,,,,,,,
TNT,88,Helmet,84.jpg,bystanderFlash,,,,,nothink,,
TNT,88,Calculator,3.jpg,think,,,,,,,
TNT,89,Pencil,103.jpg,bystanderFlash,,,,,nothink,,
TNT,89,Violin,11.jpg,think,,,,,,,
TNT,90,Candle,85.jpg,bystanderFlash,,,,,think,,
TNT,90,Rainbow,40.jpg,nothink,,,,,,,
TNT,91,Firework,94.jpg,bystanderFlash,,,,,think,,
TNT,91,Pepper,23.jpg,nothink,,,,,,,
TNT,92,Tunnel,87.jpg,bystanderFlash,,,,,nothink,,
TNT,92,Sapphire,19.jpg,think,,,,,,,
TNT,93,Thunder,82.jpg,bystanderFlash,,,,,think,,
TNT,93,Carpet,34.jpg,nothink,,,,,,,
TNT,94,Chainsaw,93.jpg,bystanderFlash,,,,,nothink,,
TNT,94,Parachute,25.jpg,nothink,,,,,,,
TNT,95,Balloon,104.jpg,bystanderFlash,,,,,nothink,,
TNT,95,Puzzle,32.jpg,nothink,,,,,,,
TNT,96,Rocket,83.jpg,bystanderFlash,,,,,nothink,,
TNT,96,Jupiter,8.jpg,think,,,,,,,
TNT,97,Pickaxe,86.jpg,bystanderFlash,,,,,think,,
TNT,97,Eagle,36.jpg,nothink,,,,,,,
TNT,98,Robot,95.jpg,bystanderFlash,,,,,think,,
TNT,98,Galaxy,1.jpg,think,,,,,,,
TNT,99,Trophy,91.jpg,bystanderFlash,,,,,nothink,,
TNT,99,Umbrella,2.jpg,think,,,,,,,
TNT,100,Scissors,89.jpg,bystanderFlash,,,,,nothink,,
TNT,100,Marathon,18.jpg,think,,,,,,,
TNT,101,Balloon,104.jpg,bystanderFlash,,,,,nothink,,
TNT,101,Lemonade,13.jpg,think,,,,,,,
TNT,102,Trophy,91.jpg,bystanderFlash,,,,,nothink,,
TNT,102,Banana,15.jpg,think,,,,,,,
TNT,103,Pencil,103.jpg,bystanderFlash,,,,,nothink,,
TNT,103,Strawberry,38.jpg,nothink,,,,,,,
TNT,104,Chainsaw,93.jpg,bystanderFlash,,,,,nothink,,
TNT,104,Lemonade,13.jpg,think,,,,,,,
TNT,105,Vortex,108.jpg,bystanderFlash,,,,,think,,
TNT,105,Volleyball,39.jpg,nothink,,,,,,,
TNT,106,Pickaxe,86.jpg,bystanderFlash,,,,,think,,
TNT,106,Satellite,20.jpg,think,,,,,,,
TNT,107,Shovel,90.jpg,bystanderFlash,,,,,nothink,,
TNT,107,Eagle,36.jpg,nothink,,,,,,,
TNT,108,Scissors,89.jpg,bystanderFlash,,,,,nothink,,
TNT,108,Rainbow,40.jpg,nothink,,,,,,,
TNT,109,Helmet,84.jpg,bystanderFlash,,,,,nothink,,
TNT,109,Puzzle,32.jpg,nothink,,,,,,,
TNT,110,Rocket,83.jpg,bystanderFlash,,,,,nothink,,
TNT,110,Whistle,35.jpg,nothink,,,,,,,
TNT,111,Firework,94.jpg,bystanderFlash,,,,,think,,
TNT,111,Satellite,20.jpg,think,,,,,,,
TNT,112,Temple,88.jpg,bystanderFlash,,,,,think,,
TNT,112,Bread,4.jpg,think,,,,,,,
TNT,113,Robot,95.jpg,bystanderFlash,,,,,think,,
TNT,113,Cactus,17.jpg,think,,,,,,,
TNT,114,Thunder,82.jpg,bystanderFlash,,,,,think,,
TNT,114,Parachute,25.jpg,nothink,,,,,,,
TNT,115,Tornado,105.jpg,bystanderFlash,,,,,think,,
TNT,115,Saxophone,30.jpg,nothink,,,,,,,
TNT,116,Candle,85.jpg,bystanderFlash,,,,,think,,
TNT,116,Whistle,35.jpg,nothink,,,,,,,
TNT,117,Spectrum,107.jpg,bystanderFlash,,,,,think,,
TNT,117,Galaxy,1.jpg,think,,,,,,,
TNT,118,Meteor,99.jpg,bystanderFlash,,,,,nothink,,
TNT,118,Mirror,24.jpg,nothink,,,,,,,
TNT,119,Tunnel,87.jpg,bystanderFlash,,,,,nothink,,
TNT,119,Sapphire,19.jpg,think,,,,,,,
TNT,120,Mask,97.jpg,bystanderFlash,,,,,think,,
TNT,120,Jazz,16.jpg,think,,,,,,,
FinalRecall,1,Banana,15.jpg,think,,1.0,1.0,1.240293400000155,,0.0,0.0
FinalRecall,2,Violin,11.jpg,think,,1.0,1.0,0.2157439999991766,,0.0,0.0
FinalRecall,3,Mask,97.jpg,bystander,,2.0,2.0,0.5711513000005652,think,1.0,0.4
FinalRecall,4,Pickaxe,86.jpg,bystander,,2.0,2.0,0.514419999999518,think,1.0,0.4
FinalRecall,5,Strawberry,38.jpg,nothink,,3.0,3.0,0.537723499999629,,1.0,0.6
FinalRecall,6,Thunder,82.jpg,bystander,,3.0,3.0,7.434746999999334,think,1.0,0.6
FinalRecall,7,Chameleon,44.jpg,baseline,,4.0,4.0,0.4318929000000935,,1.0,0.8
FinalRecall,8,Suitcase,42.jpg,baseline,,4.0,4.0,0.4254492999989452,,1.0,0.8
FinalRecall,9,Volcano,21.jpg,nothink,,5.0,5.0,0.4674123000004329,,1.0,1.0
FinalRecall,10,Robot,95.jpg,bystander,,1.0,1.0,1.0018012000000454,think,0.0,0.0
FinalRecall,11,Spectrum,107.jpg,bystander,,1.0,1.0,0.21812110000064422,think,0.0,0.0
FinalRecall,12,Pillow,14.jpg,think,,1.0,1.0,0.12258830000064336,,0.0,0.0
FinalRecall,13,Sandwich,28.jpg,nothink,,1.0,1.0,0.10716339999999036,,0.0,0.0
FinalRecall,14,Scissors,89.jpg,bystander,,1.0,1.0,0.06613979999929143,nothink,0.0,0.0
FinalRecall,15,Rainbow,40.jpg,nothink,,1.0,1.0,0.17141179999998712,,0.0,0.0
FinalRecall,16,Toothbrush,48.jpg,baseline,,1.0,1.0,0.28072160000010626,,0.0,0.0
FinalRecall,17,Parachute,25.jpg,nothink,,1.0,1.0,0.21868050000011863,,0.0,0.0
FinalRecall,18,Canyon,106.jpg,bystander,,1.0,1.0,0.23796200000106182,control,0.0,0.0
FinalRecall,19,Ladder,54.jpg,baseline,,1.0,1.0,0.26830340000014985,,0.0,0.0
FinalRecall,20,Telescope,27.jpg,nothink,,1.0,1.0,0.3036811999991187,,0.0,0.0
FinalRecall,21,Coconut,6.jpg,think,,1.0,1.0,0.2969455000002199,,0.0,0.0
FinalRecall,22,Helmet,84.jpg,bystander,,1.0,1.0,0.2980571999996755,nothink,0.0,0.0
FinalRecall,23,Toaster,98.jpg,bystander,,1.0,1.0,0.3120075999995606,control,0.0,0.0
FinalRecall,24,Meteor,99.jpg,bystander,,1.0,1.0,0.44623150000006717,nothink,0.0,0.0
FinalRecall,25,Harmony,5.jpg,think,,1.0,1.0,0.29231909999907657,,0.0,0.0
FinalRecall,26,Meadow,49.jpg,baseline,,1.0,1.0,0.31172800000058487,,0.0,0.0
FinalRecall,27,Saxophone,30.jpg,nothink,,1.0,1.0,0.20143880000068748,,0.0,0.0
FinalRecall,28,Cactus,17.jpg,think,,1.0,1.0,0.24375060000056692,,0.0,0.0
FinalRecall,29,Satellite,20.jpg,think,,1.0,1.0,0.3933388000004925,,0.0,0.0
FinalRecall,30,Vortex,108.jpg,bystander,,1.0,1.0,0.2579643999997643,think,0.0,0.0
FinalRecall,31,Eagle,36.jpg,nothink,,1.0,1.0,0.16925950000040757,,0.0,0.0
FinalRecall,32,Sapphire,19.jpg,think,,1.0,1.0,0.3679809999994177,,0.0,0.2
